familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
Karmina,TypeTogether,en,f,1419590,
Deva Ideal,DizajnDesign,en,f,1417815,
Federico,ParaType,en,f,1404513,
Liberation Serif,Red Hat,en,f,1402906,
FF Typestar,FontFont,en,f,1401767,
FF Netto,FontFont,en,f,1398510,
FF Netto,FontFont,en,f,1398510,
Ronnia,TypeTogether,en,f,1388172,
Bello,Underware,en,f,1384362,
Freight Sans,Phil's Fonts,en,f,1383290,
FF Chambers Sans,FontFont,en,f,1377791,
FF Typestar,FontFont,en,f,1374511,
Botanika Mono,Suitcase Type Foundry,en,f,1372780,
Proxima Nova,Mark Simonson Studio,en,f,1370696,
Wordy Diva,Chank Co,en,f,1365365,
Coranto 2,TypeTogether,en,f,1364994,
Coquette,Mark Simonson Studio,en,f,1364164,
Chaparral,Adobe,en,f,1361829,
Alana,Laura Worthington Type,en,f,1359490,
FF Meta Serif,FontFont,en,f,1355385,
FF Enzo,FontFont,en,f,1354471,
Ratio,ps Type,en,f,1348115,
Proxima Nova,Mark Simonson Studio,en,f,1347463,
Cora,TypeTogether,en,f,1342473,
Poplar,Adobe,en,f,1340614,
Skolar,Rosetta Type Foundry,en,f,1340344,
Botanika Mono,Suitcase Type Foundry,en,f,1339550,
FP Dancer,Fontpartners,en,f,1339182,
HWT American,Hamilton Wood Type Foundry,en,f,1329568,
Ronnia,TypeTogether,en,f,1326369,
Report School,Typodermic,en,f,1323588,
Hedley New,Moretype,en,f,1319526,
Proxima Nova,Mark Simonson Studio,en,f,1314918,
Cholla,Emigre,en,f,1314696,
Botanika Mono,Suitcase Type Foundry,en,f,1314510,
Estilo,DSType,en,f,1305551,
Leander Script,Adobe,en,f,1305043,
Ryo Text PlusN,Adobe,ja,f,1302992,
Minion,Adobe,en,f,1302079,
Pill Gothic,Betatype,en,f,1291832,
Botanika Mono,Suitcase Type Foundry,en,f,1290854,
Myriad,Adobe,en,f,1283382,
Tablet Gothic,TypeTogether,en,f,1275390,
Kepler,Adobe,en,f,1270104,
Garamond Premier,Adobe,en,f,1265076,
RuckSack,Regular Bold Italic,en,f,1258535,
Latienne,TypeCulture,en,f,1256598,
FF Nuvo,FontFont,en,f,1254811,
Proxima Nova,Mark Simonson Studio,en,f,1254533,
JAF Bernini,Just Another Foundry,en,f,1249054,
FF Prater,FontFont,en,f,1236716,
Gin,Fort Foundry,en,f,1234714,
Alwyn New,Moretype,en,f,1233886,
Adelle,TypeTogether,en,f,1230313,
Acta,DSType,en,f,1229779,
Proxima Nova,Mark Simonson Studio,en,f,1229123,
Duality,Larabie Fonts,en,f,1228721,
Adobe Jenson,Adobe,en,f,1228421,
FF Karbid Slab,FontFont,en,f,1228247,
Estilo,DSType,en,f,1226499,
Proxima Nova,Mark Simonson Studio,en,f,1217430,
Proxima Nova,Mark Simonson Studio,en,f,1214776,
Runda,ps Type,en,f,1213275,
Proxima Nova,Mark Simonson Studio,en,f,1213130,
Depot New,Moretype,en,f,1210974,
Minion,Adobe,en,f,1210269,
Estilo,DSType,en,f,1209118,
Skolar,Rosetta Type Foundry,en,f,1208634,
FF Ernestine,FontFont,en,f,1208276,
Jesaya,Typodermic,en,f,1206450,
FF Enzo,FontFont,en,f,1203244,
Minerva Modern,T-26,en,f,1200242,
JAF Facit,Just Another Foundry,en,f,1194974,
Anisette,Typofonderie,en,f,1193958,
Bree Serif,TypeTogether,en,f,1185109,
Anisette,Typofonderie,en,f,1184033,
Eurostile,URW++,en,f,1183305,
Myriad,Adobe,en,f,1181544,
Phoreus Cherokee,TypeCulture,en,f,1178391,
Anisette,Typofonderie,en,f,1176798,
Adrianna,Chank Co,en,f,1176110,
Abril Titling,TypeTogether,en,f,1174268,
Arno,Adobe,en,f,1173286,
Proxima Nova,Mark Simonson Studio,en,f,1167598,
Hedley New,Moretype,en,f,1156157,
Le Monde Journal,Typofonderie,en,f,1155649,
JAF Mashine,Just Another Foundry,en,f,1154655,
Aller Display,Dalton Maag,en,f,1151855,
Apertura,Betatype,en,f,1150226,
Chaparral,Adobe,en,f,1148935,
Deva Ideal,DizajnDesign,en,f,1147149,
Ryo Gothic PlusN,Adobe,ja,f,1141010,
FF Spinoza,FontFont,en,f,1137780,
Expressway,Typodermic,en,f,1137076,
JAF Bernini,Just Another Foundry,en,f,1135273,
Proxima Nova,Mark Simonson Studio,en,f,1134363,
Acuta,Anatoletype,en,f,1130148,
Report,Typodermic,en,f,1124380,
Adonis,ParaType,en,f,1123746,
Freight Sans,Phil's Fonts,en,f,1123436,
Paralucent,Device Fonts,en,f,1122035,
Depot New,Moretype,en,f,1106920,
Proxima Nova,Mark Simonson Studio,en,f,1105077,
Minion,Adobe,en,f,1102403,
Acta,DSType,en,f,1101271,
Tandelle,Typodermic,en,f,1101265,
Sophisto,MAC Rhino Fonts,en,f,1100680,
Tekton,Adobe,en,f,1099950,
Minion,Adobe,en,f,1099360,
Daniel,Daniel Midgley,en,f,1096875,
Superclarendon,Typodermic,en,f,1094029,
Sophisto,MAC Rhino Fonts,en,f,1093179,
DejaRip,Anatoletype,en,f,1089854,
Chaparral,Adobe,en,f,1088606,
FF Prater,FontFont,en,f,1087204,
Proxima Nova,Mark Simonson Studio,en,f,1080819,
Vista Slab,Emigre,en,f,1080431,
Freight Sans,Phil's Fonts,en,f,1073765,
Pill Gothic,Betatype,en,f,1073084,
Adonis,ParaType,en,f,1067375,
Hedley New,Moretype,en,f,1062686,
Liberation Serif,Red Hat,en,f,1060681,
Ronnia,TypeTogether,en,f,1058929,
Colaborate,Carrois Type Design,en,f,1058733,
FF Enzo,FontFont,en,f,1057060,
Bigfish,Floodfonts,en,f,1054596,
Adrianna,Chank Co,en,f,1050140,
P22 Eaglefeather,P22,en,f,1048983,
Tandelle,Typodermic,en,f,1048746,
Chantal,Device Fonts,en,f,1043066,
Blambot Casual,Blambot,en,f,1039917,
P22 Eaglefeather,P22,en,f,1029118,
Ratio,ps Type,en,f,1026309,
Le Havre,Insigne Design,en,f,1025559,
Industry Inc,Fort Foundry,en,f,1022174,
RePublic,Suitcase Type Foundry,en,f,1018540,
Mic 32 New,Moretype,en,f,1015505,
P22 Eaglefeather,P22,en,f,1014853,
P22 Eaglefeather,P22,en,f,1013204,
RePublic,Suitcase Type Foundry,en,f,1010356,
Freight Sans,Phil's Fonts,en,f,1005411,
Chaparral,Adobe,en,f,1005017,
RePublic,Suitcase Type Foundry,en,f,996330,
Aktiv Grotesk,Dalton Maag,en,f,992033,
RePublic,Suitcase Type Foundry,en,f,990578,
Parisine,Typofonderie,en,f,988957,
Minion,Adobe,en,f,985241,
Colaborate,Carrois Type Design,en,f,984525,
FF Basic Gothic,FontFont,en,f,980386,
Jinky,Rotodesign,en,f,979188,
Angie Sans,Typofonderie,en,f,970571,
Garamond Premier,Adobe,en,f,969111,
Quimby,Chank Co,en,f,968664,
Le Havre,Insigne Design,en,f,967029,
Balboa,Parkinson Type Design,en,f,964222,
Kepler,Adobe,en,f,963286,
Ronnia,TypeTogether,en,f,961778,
Chaparral,Adobe,en,f,960608,
Proxima Nova,Mark Simonson Studio,en,f,954855,
Ronnia,TypeTogether,en,f,954745,
Hedley New,Moretype,en,f,954208,
Paralucent,Device Fonts,en,f,953841,
Neuzeit Grotesk,URW++,en,f,949579,
Serifa,URW++,en,f,947792,
Serifa,URW++,en,f,946550,
Metallophile Sp8,Mark Simonson Studio,en,f,944096,
FF Basic Gothic,FontFont,en,f,942862,
Apertura,Betatype,en,f,941807,
Kepler,Adobe,en,f,940257,
Alwyn New,Moretype,en,f,935999,
Metallophile Sp8,Mark Simonson Studio,en,f,935189,
Good Times,Larabie Fonts,en,f,932571,
P22 Underground,P22,en,f,927034,
Mic 32 New,Moretype,en,f,926248,
Arno,Adobe,en,f,921430,
Mic 32 New,Moretype,en,f,920763,
Proxima Nova,Mark Simonson Studio,en,f,920231,
Usual,Rui Abreu,en,f,919842,
Ronnia,TypeTogether,en,f,919549,
Proxima Nova,Mark Simonson Studio,en,f,918924,
Chaloops,Chank Co,en,f,918185,
Estilo,DSType,en,f,917060,
Pill Gothic,Betatype,en,f,916792,
Kepler,Adobe,en,f,913211,
Ronnia,TypeTogether,en,f,911242,
